Experiment ; nb_agents ; success_rate
pyramid_range3_3d_agents ; 2 ; 1.0
pyramid_range3_3d_agents ; 3 ; 1.0
pyramid_range3_3d_agents ; 4 ; 1.0
pyramid_range3_3d_agents ; 5 ; 1.0
pyramid_range3_3d_agents ; 6 ; 1.0
pyramid_range3_3d_agents ; 7 ; 1.0
pyramid_range3_3d_agents ; 8 ; 1.0
pyramid_range3_3d_agents ; 9 ; 1.0
pyramid_range3_3d_agents ; 10 ; 1.0
pyramid_range3_3d_agents ; 11 ; 1.0
pyramid_range3_3d_agents ; 12 ; 1.0
pyramid_range3_3d_agents ; 13 ; 1.0
pyramid_range3_3d_agents ; 14 ; 1.0
pyramid_range3_3d_agents ; 15 ; 1.0
pyramid_range3_3d_agents ; 16 ; 1.0
pyramid_range3_3d_agents ; 17 ; 1.0
pyramid_range3_3d_agents ; 18 ; 1.0
pyramid_range3_3d_agents ; 19 ; 1.0
pyramid_range3_3d_agents ; 20 ; 1.0
pyramid_range3_3d_agents ; 21 ; 1.0
pyramid_range3_3d_agents ; 22 ; 1.0
pyramid_range3_3d_agents ; 23 ; 0.95
pyramid_range3_3d_agents ; 24 ; 1.0
pyramid_range3_3d_agents ; 25 ; 1.0
pyramid_range3_3d_agents ; 26 ; 1.0
pyramid_range3_3d_agents ; 27 ; 0.95
pyramid_range3_3d_agents ; 28 ; 1.0
pyramid_range3_3d_agents ; 29 ; 1.0
pyramid_range3_3d_agents ; 30 ; 1.0
pyramid_range3_3d_agents ; 31 ; 1.0
pyramid_range3_3d_agents ; 32 ; 1.0
pyramid_range3_3d_agents ; 33 ; 0.95
pyramid_range3_3d_agents ; 34 ; 0.95
pyramid_range3_3d_agents ; 35 ; 0.95
pyramid_range3_3d_agents ; 36 ; 0.95
pyramid_range3_3d_agents ; 37 ; 0.9
pyramid_range3_3d_agents ; 38 ; 1.0
pyramid_range3_3d_agents ; 39 ; 0.95
pyramid_range3_3d_agents ; 40 ; 0.95
pyramid_range3_3d_agents ; 41 ; 1.0
pyramid_range3_3d_agents ; 42 ; 0.9
pyramid_range3_3d_agents ; 43 ; 1.0
pyramid_range3_3d_agents ; 44 ; 0.95
pyramid_range3_3d_agents ; 45 ; 1.0
pyramid_range3_3d_agents ; 46 ; 0.95
pyramid_range3_3d_agents ; 47 ; 1.0
pyramid_range3_3d_agents ; 48 ; 0.95
pyramid_range3_3d_agents ; 49 ; 0.95
pyramid_range3_3d_agents ; 50 ; 1.0
pyramid_range3_3d_agents ; 51 ; 1.0
pyramid_range3_3d_agents ; 52 ; 1.0
pyramid_range3_3d_agents ; 53 ; 0.95
pyramid_range3_3d_agents ; 54 ; 1.0
pyramid_range3_3d_agents ; 55 ; 0.95
pyramid_range3_3d_agents ; 56 ; 0.9
pyramid_range3_3d_agents ; 57 ; 0.85
pyramid_range3_3d_agents ; 58 ; 0.95
pyramid_range3_3d_agents ; 59 ; 1.0
pyramid_range3_3d_agents ; 60 ; 0.95
pyramid_range3_3d_agents ; 61 ; 0.95
pyramid_range3_3d_agents ; 62 ; 0.9
pyramid_range3_3d_agents ; 63 ; 1.0
pyramid_range3_3d_agents ; 64 ; 0.85
pyramid_range3_3d_agents ; 65 ; 0.9
pyramid_range3_3d_agents ; 66 ; 0.95
pyramid_range3_3d_agents ; 67 ; 0.75
pyramid_range3_3d_agents ; 68 ; 0.95
pyramid_range3_3d_agents ; 69 ; 0.95
pyramid_range3_3d_agents ; 70 ; 0.85
